Timestamp,Field,Current Years of Experience (working Software),"Salary (please specify currency ie. PHP 25,000, USD 500)",Position / Occupational Title,"What city, country is your work based in? (ie. Makati, Philippines)",University attended,Course studied,Did you finish university?,What is the focus of your work? (answer 'Other' if not in this list),"Technologies Used at Work (ie. Ruby on Rails, Angular 4, Microsoft Azure)"
11/16/2017 14:54:52,Corporate,9,PHP 125000,Software Engineer,"Office in Manila, Based in San Francisco",UPD,Computer Science,Yes,"Devops, Software Engineering, Web Development","Ruby on Rails, Chef, Elastic Search, Angular, React, MariaDB, Kurento"
11/16/2017 15:28:40,Startup,1,PHP 35000,,"Quezon City, PH",UP Diliman,BS Computer Science,Yes,Data Science / Data Engineering,Python
11/16/2017 15:35:26,Corporate,1,PHP 30000,software engg,taguig,upd,cs,Yes,Software Engineering,"PHP, javascript, angular "
11/16/2017 15:36:14,Consultancy,4,PHP 60000,geoscience data scientist,Quezon City,UP Diliman,BS Geodetic Engineering,Yes,"Data Science / Data Engineering, Enterprise Systems, Machine Learning / AI / Computer Vision, Software Engineering, Web Development","Python, Tensorflow, Django, Postgresql, Google cloud platform"
11/16/2017 16:13:58,Consultancy,1,PHP 34000,Developer Apprentice,"Taguig, Philippines",Map�_a University,Computer Engineering,Yes,"Mobile Development, Web Development",Ruby on Rails
11/16/2017 16:55:08,Corporate,2,PHP 120000,secret,Home Based,Secret,SECRET din,Yes,Banking Software,Windows 10
11/16/2017 17:13:22,Startup,1.5,PHP 32000,,,,,,,
11/16/2017 17:18:50,Startup,2,PHP 40000,Software Developer,Philippines,UP Diliman,Computer Science,Yes,"Devops, Distributed Systems, Mobile Development, Quality Assurance / Testing, UI / UX, Web Development",
11/16/2017 17:22:25,Academe,2,PHP 25000,,,,,Yes,"Education, Management, Mobile Development, Project Management, Security, Software Engineering, UI / UX, Web Development",
11/16/2017 19:10:04,Startup,3,PHP 50000,Software Engineer,"Makati, Philippines",PUP,BS Computer Engineering,Yes,"Banking Software, Blockchain, Devops, Distributed Systems, FinTech, Software Engineering, Web Development","Python, Nodejs, Docker"
11/16/2017 22:54:39,Startup,9,PHP 250000,DDO,QC Philippines,UPLB,BS Math,Yes,"Data Science / Data Engineering, Devops, Distributed Systems, eCommerce, IoT (Internet of Things), Logistics, Management, Mobile Development, Project Management, Quality Assurance / Testing, Software Engineering, Upper Level Management, Web Development",
11/16/2017 23:06:56,Corporate,13,PHP 250000 ,Platform manager,Makati,UP diliman,CS CompSci,Yes,"eCommerce, FinTech","Angular4, PEGA, Java EE, Robot Framework, Hadoop, elasticsearch"
